descripcion_tipo_presupuesto,finalidad,funcion,monto
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,681-REG. Y CONTROL EN LA LIBRE COMPETENCIA EN LOS MERCADOS,390774276
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,673-REG. Y CONTROL DE SERV. DE PROTECCION Y DEF. AL CONSUMIDOR,3697731358
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,673-REG. Y CONTROL DE SERV. DE PROTECCION Y DEF. AL CONSUMIDOR,0
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,672-REG. Y CONTROL DE LOS SERV. DE REG.DE PROP. INTELECTUAL,7635489947
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,672-REG. Y CONTROL DE LOS SERV. DE REG.DE PROP. INTELECTUAL,5016223192
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,"671-REG. Y CONTROL DEL SIST. NAC, CONTRATC PUB",44022036029
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,651-REGULACIÓN Y CONTROL DE LAS COOPERATIVAS,8775356330
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,651-REGULACIÓN Y CONTROL DE LAS COOPERATIVAS,7179006922
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,651-REGULACIÓN Y CONTROL DE LAS COOPERATIVAS,2930878404
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,651-REGULACIÓN Y CONTROL DE LAS COOPERATIVAS,976705594
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,641-REGULACIÓN Y CONTROL DE SERVICIOS BURSATILES Y COMERCIALES,2692644769
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,641-REGULACIÓN Y CONTROL DE SERVICIOS BURSATILES Y COMERCIALES,214651302
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,631-REGULACIÓN Y CONTROL DE SERVICIOS DE AGUA POTABLE Y ALCANTAR,7819584006
