tipo_presupuesto,funcion,anho,monto
2-PROGRAMAS DE ACCIÓN,334-SERVICIOS DE JUBILACIONES Y PENSIONES,2015,5775880213328
2-PROGRAMAS DE ACCIÓN,481-INTERMEDIACION FINANCIERA,2012,5733189215293
2-PROGRAMAS DE ACCIÓN,334-SERVICIOS DE JUBILACIONES Y PENSIONES,2014,4946191745172
2-PROGRAMAS DE ACCIÓN,334-SERVICIOS DE JUBILACIONES Y PENSIONES,2013,4574447203466
1-PROGRAMAS DE ADMINISTRACION,132-ADMINISTRACIÓN GENERAL,2012,4459222864472
2-PROGRAMAS DE ACCIÓN,311-ATENCION MEDICA,2014,4451936715823
2-PROGRAMAS DE ACCIÓN,412-PETROLEO Y GAS,2012,4350131645887
2-PROGRAMAS DE ACCIÓN,311-ATENCION MEDICA,2015,4179447678255
2-PROGRAMAS DE ACCIÓN,412-PETROLEO Y GAS,2011,4052792160831
2-PROGRAMAS DE ACCIÓN,311-ATENCION MEDICA,2013,3909757682153
2-PROGRAMAS DE ACCIÓN,311-ATENCION MEDICA,2012,3815801105188
2-PROGRAMAS DE ACCIÓN,412-PETROLEO Y GAS,2013,3734813768889
2-PROGRAMAS DE ACCIÓN,334-SERVICIOS DE JUBILACIONES Y PENSIONES,2012,3666519942744
2-PROGRAMAS DE ACCIÓN,412-PETROLEO Y GAS,2014,3314562743032
2-PROGRAMAS DE ACCIÓN,311-ATENCION MEDICA,2011,2840051781846
2-PROGRAMAS DE ACCIÓN,334-SERVICIOS DE JUBILACIONES Y PENSIONES,2011,2758718924152
4-PROGRAMAS DEL SERVICIO DE LA DEUDA PÚBLICA,511-SERVICIOS DE LA DEUDA PÚBLICA,2015,2749762807138
2-PROGRAMAS DE ACCIÓN,341-EDUCACION ELEMENTAL,2015,2729907100488
2-PROGRAMAS DE ACCIÓN,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,2015,2717448448127
2-PROGRAMAS DE ACCIÓN,481-INTERMEDIACION FINANCIERA,2015,2649814995481
3-PROGRAMAS DE INVERSIÓN,491-SERVICIOS DE OBRAS PÚBLICAS,2015,2552301547309
2-PROGRAMAS DE ACCIÓN,413-ELECTRICIDAD,2015,2531750854207
2-PROGRAMAS DE ACCIÓN,341-EDUCACION ELEMENTAL,2014,2507106098284
2-PROGRAMAS DE ACCIÓN,341-EDUCACION ELEMENTAL,2013,2442938700516
