nivel,entidad,programa,subprograma,monto
25-EMPRESAS PÚBLICAS,06-PETRÓLEOS PARAGUAYOS,"1- ABASTECIMIENTO REGULAR DE LOS COMBUSTIBLES EN TODO EL PAIS, MANTENIENDO UN STOCK PARA 2 MESES",0- *,79596842116824
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- 49.100 BENEFICIARIOS RECIBEN SUS JUBILACIONES Y PENSIONES.,0- *,36544320685212
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"3- - AVANCE FINANCIERO DE LAS DISTINTAS OBRAS
- AVANCE DE CRONOGRAMA DEL PROGRAMA
- AVANCE DE CRONOGRAMA DEL PROYECTO
- SERVICIOS DE CONSULTORIA RECIBIDOS
- AVANCE DE CRONOGRAMA DE LAS DISTINTAS OBRAS",0- *,36174172283160
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,2- KWH DE ENERGÍA COMERCIALIZADA.,"2- -OPERATICION DE LAS ESTACIONES Y SUBESTACIONES TRANSFORMADORAS, Y LA TRANSMISION DE LA ENERGIA ELECWETRICA EN TODO EL PAIS.
- OPERACION DE LOS PUESTOS DE DISTRIBUCION Y DE LAS LINEAS DE DISTRIBUCION EN MEDIA TENSION Y BAJA TENSION.
- GARANTIZAR EL SERVI (...)",31956270985308
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,2- *,0- *,28821596812140
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- -SE PRETENDE ALCANZAR A 50.000 BENEFICIARIOS DE LOS SECTORES AGRÍCOLAS, INDUSTRIALES Y COMERCIALES, CON UN NIVEL DE DESEMBOLSOS DE 350.000 MILLONES DE GUARANIES.
",0- *,25782576337428
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,4- - ALUMNOS FORMADOS,"1- -PARTICIPACION ACTIVA DE LOS COOORDINADORES DE SUPERVISION, CONSEJOS DEPARTAMENTALES, SUPERVISORES Y TECNICOS EN LA SENSIBILIZACION A LAS COMUNIDADES DE LA MATRICULACION DE LOS NIÑOS EN EL PREESCOLAR Y EN LA EDUCACION ESCOLAR BASICA, MANTENER LA TASA BR (...)",25392224241888
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,3- *,0- *,20351501084292
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,1- *,0- *,19753232121648
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,2- -REALIZACION DE 2000 SERV DE PREVENC DE HECHOS PUNIBLES- ATENCION DE 984 CASOS EN BIENESTAR POLICIAL- INVESTIGACION DE 1150 HECHOS PUNIBLES- REALIZAC DE 480 INTERVENCIONES DE APOYO TACTICO- CAPACITACION DE 4603 OFIC Y SUBOFIC- ELABORACION DE 892000 DOCU (...),"1- CONSITE EN DIRIGIR, COORDINAR, CONTROLAR Y EVALUAR LA EJECUCION DE LOS SERVICIOS PREVENTIVOS E INVESTIGATIVOS DE LOS EFECTIVOS DE LA POLICIA NACIONAL A SU CARGO PARA LA PREVENCION DE HECHOS DELICTUOSOS",19127751020280
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,12- *,0- *,15533791010448
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"7- -TRANSFERENCIA DE RECURSOS FINANCIEROS A GOBIERNOS SUBNACIONALES.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS REALIZADOS.",0- *,15173224931604
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,8- APOYO OPORTUNO PARA LAS INVERSIONES.,0- *,12554313278352
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,"11- COBERTURA AUMENTADA CON EQUIDAD EN EL ACCESO EN UN 56,1% A LA EDUCACION MEDIA , Y MEJORAMIENTO DE LA CALIDAD, CON UNA TASA DE APROBADOS DEL 76%",0- *,10383264551160
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"1- -CAPACITACION DE RECURSOS HUMANOS.
-PROCESOS ADMINISTRATIVOS IMPLEMENTADOS.
-COMPROMISO DE TODA LA ORGANIZACIÓN EN TODOS LOS PLANES A SER DESARROLLADOS.",0- *,10345446853692
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"6- -TRANSFERENCIA DE RECURSOS FINANCIEROS A GOBIERNOS SUBNACIONALES.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS REALIZADOS.
",0- *,9879922188492
27-ENTIDADES FINANCIERAS OFICIALES,07-AGENCIA FINANCIERA DE DESARROLLO,1- *,0- *,8966668053660
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"2- DENTRO DE ESTE SUBPROGRAMA SE INCLUYEN TODOS LOS PROYECTOS DE CONSTRUCCION, REHABILITACION Y MEJORAMIENTO DE CAMINOS PAVIMENTADOS DE LA RED VIAL NACIONAL, A CARGO DE LA DIRECCION DE VIALIDAD.",8471197016004
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"3- - INFORME FINANCIERO, CONTABLE Y PATRIMONIALES ELABORADOS.
- MANUAL DE ORGANIZACIÓN Y FUNCIONES ELABORADO.
- DOCUMENTACIONES PRESENTADOS EN TIEMPO UTIL.
- EJECUCIÓN PRESUPUESTARIA EN UN 95 % PARA EL PERIODO 2009.
- DISMINUIR EN UN 70 % LAS REPROGRAMACIO (...)",0- *,7049414674884
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,03-CAJA DE JUBILACIONES Y PENSIONES DEL PERSONAL DE LA ANDE,1- MEJORAMIENTO EN LA CALIDAD DE VIDA DE LOS AFILIADOS.,0- 0,6900472735788
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,5- ENTREGA OPORTUNA DE LOS RECURSOS FINANCIEROS,0- *,6693003415512
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,7- *,0- *,6268740312168
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,23- *,0- *,6205978208232
