nivel,entidad,programa,subprgrama,monto,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,3- 57.050 BENEFICIARIOS RECIBEN SUS JUBILACIONES Y PENSIONES.,0- *,2541676100699,,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,2- KWH DE ENERGÍA COMERCIALIZADA.,"2- -OPERATICION DE LAS ESTACIONES Y SUBESTACIONES TRANSFORMADORAS, Y LA TRANSMISION DE LA ENERGIA ELECWETRICA EN TODO EL PAIS.
- OPERACION DE LOS PUESTOS DE DISTRIBUCION Y DE LAS LINEAS DE DISTRIBUCION EN MEDIA TENSION Y BAJA TENSION.
- GARANTIZAR EL SERVI (...)",2531750854207,,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,1- EDUCACIÓN INICIAL Y ESCOLAR BÁSICA,2519734478357,,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,2- *,0- *,2259316931823,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,1- *,0- *,2235119345712,,,
25-EMPRESAS PÚBLICAS,06-PETRÓLEOS PARAGUAYOS,1- LITROS DE COMBUSTIBLE VENDIDOS,"1- - EN EL MARCO DE LAS FUNCIONES ESTABLECIDAS EN LA CARTA ORGÁNICA, PETROPAR ADQUIERE LOS DERIVADOS  DE PETRÓLEO, TALES COMO GASOIL Y NAFTAS.
- EN CUANTO A LA OPERACIÓN Y LOGÍSTICA, LA MAYOR PARTE DE LAS ADQUISICIONES SE REALIZAN EN CONDICIÓN FOB – KM 171 (...)",2198576184646,,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,"1- - TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS.
- RECURSOS DEL MEC SALVAGUARDADOS.
- REMUNERACIONES BASICAS DEL PERSONAL OTORGADAS EN TIEMPO Y FORMA.
- BECAS OFRECIDAS POR LOS ORGANISMOS INTERNACIONALES DIFUNDIDAS EN FORMA OPORTUNA Y ADJUDICADAS CO (...)",0- *,2159564577685,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- BENEFICIAR A FAMILIAS  CON TARIFA DIFERNCIADA-CUMPLIMIENTO DE DISPOSICIONES LEGALES PARA LA EFECTIVIZACIÓN DE LOS PAGOS-TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO  (...),3- TRANSFERENCIA DE RECURSOS A GOBIERNOS MUNICIPALES,1968798305196,,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,3- *,"1- * SE JUSTIFICA POR LA NECESIDAD DE ATENDER LAS JUBILACIONES Y PENSIONES DE LOS ASEGURADOS. DETERMINAR Y ESTABLECER LOS ASPECTOS GENERALES PARA LA IMPLEMENTACIÓN DE UN SISTEMA QUE AGILIZARA BASICAMENTE LA RECEPCIÓN, TRÁMITE E INFORMACIÓN DE LOS APORTES D (...)",1952228998520,,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,1- *,1- *,1872118699463,,,
