nivel,entidad,programa,subprograma,anho,monto,,
25-EMPRESAS PÚBLICAS,06-PETRÓLEOS PARAGUAYOS,"1- ABASTECIMIENTO REGULAR DE LOS COMBUSTIBLES EN TODO EL PAIS, MANTENIENDO UN STOCK PARA 2 MESES",0- *,2012,4350131645887,,
25-EMPRESAS PÚBLICAS,06-PETRÓLEOS PARAGUAYOS,"1- ABASTECIMIENTO REGULAR DE LOS COMBUSTIBLES EN TODO EL PAIS, MANTENIENDO UN STOCK PARA 2 MESES",0- *,2011,4052792160831,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,10- -CUMPLIMIENTO DE DISPOSICIONES LEGALES PARA LA EFECTIVIZACIÓN DE LOS PAGOS.,0- *,2012,3979542710883,,
21-BANCA CENTRAL DEL ESTADO,01-BANCO CENTRAL DEL PARAGUAY,2- *,0- *,2012,3927460159843,,
25-EMPRESAS PÚBLICAS,06-PETRÓLEOS PARAGUAYOS,"1- ABASTECIMIENTO REGULAR DE LOS COMBUSTIBLES EN TODO EL PAIS, MANTENIENDO UN STOCK PARA 2 MESES",0- *,2013,3734813768889,,
25-EMPRESAS PÚBLICAS,06-PETRÓLEOS PARAGUAYOS,"1- ABASTECIMIENTO REGULAR DE LOS COMBUSTIBLES EN TODO EL PAIS, MANTENIENDO UN STOCK PARA 2 MESES",0- *,2014,3314562743032,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,3- 57.050 BENEFICIARIOS RECIBEN SUS JUBILACIONES Y PENSIONES.,0- *,2015,2541676100699,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,2- KWH DE ENERGÍA COMERCIALIZADA.,"2- -OPERATICION DE LAS ESTACIONES Y SUBESTACIONES TRANSFORMADORAS, Y LA TRANSMISION DE LA ENERGIA ELECWETRICA EN TODO EL PAIS.
- OPERACION DE LOS PUESTOS DE DISTRIBUCION Y DE LAS LINEAS DE DISTRIBUCION EN MEDIA TENSION Y BAJA TENSION.
- GARANTIZAR EL SERVI (...)",2015,2531750854207,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,1- EDUCACIÓN INICIAL Y ESCOLAR BÁSICA,2015,2519734478357,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- 49.900 BENEFICIARIOS RECIBEN SUS JUBILACIONES Y PENSIONES.,0- *,2014,2294405606122,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,2- KWH DE ENERGÍA COMERCIALIZADA.,"2- -OPERATICION DE LAS ESTACIONES Y SUBESTACIONES TRANSFORMADORAS, Y LA TRANSMISION DE LA ENERGIA ELECWETRICA EN TODO EL PAIS.
- OPERACION DE LOS PUESTOS DE DISTRIBUCION Y DE LAS LINEAS DE DISTRIBUCION EN MEDIA TENSION Y BAJA TENSION.
- GARANTIZAR EL SERVI (...)",2013,2268808815141,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,2- *,0- *,2015,2259316931823,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,1- *,0- *,2015,2235119345712,,
25-EMPRESAS PÚBLICAS,06-PETRÓLEOS PARAGUAYOS,1- LITROS DE COMBUSTIBLE VENDIDOS,"1- - EN EL MARCO DE LAS FUNCIONES ESTABLECIDAS EN LA CARTA ORGÁNICA, PETROPAR ADQUIERE LOS DERIVADOS  DE PETRÓLEO, TALES COMO GASOIL Y NAFTAS.
- EN CUANTO A LA OPERACIÓN Y LOGÍSTICA, LA MAYOR PARTE DE LAS ADQUISICIONES SE REALIZAN EN CONDICIÓN FOB – KM 171 (...)",2015,2198576184646,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,2- *,0- *,2014,2179393141682,,
